Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HxG,AxG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E0,21/08/2026,20:00,Arsenal,Coventry,3,0,H,2,0,H,T Bramall,1.88,0.2,20,4,6,1,10,13,8,2,1,1,0,0,1.2,7,13,1.2,6.5,15,1.18,7,15,1.2,6.5,12,1.17,7,15,1.17,7.5,14,1.23,7.5,16.5,1.19,6.77,14.19,1.23,7.4,18,1.57,2.38,1.6,2.45,1.55,2.38,1.64,2.54,-2,2.03,1.78,2.05,1.8,1.99,1.76,2.11,1.86,1.18,7.5,13,1.22,6.5,13,1.2,6.5,15,1.2,6.5,11.5,1.17,7,15,1.17,7.5,14,1.22,7.5,16,1.2,6.72,14,1.23,7.4,18,1.57,2.38,1.58,2.45,1.55,2.37,1.63,2.56,-2,2.05,1.75,2.05,1.83,2.02,1.74,2.14,1.86
E0,22/08/2026,12:30,Hull,Man United,2,0,H,2,0,H,D England,1.01,1.83,8,21,4,5,10,9,1,6,2,1,0,0,8.5,5,1.36,8.5,5,1.36,9,5.25,1.33,7.5,4.6,1.38,8.5,4.75,1.33,8,4.75,1.36,9,5.25,1.39,8.37,4.93,1.36,9.6,5.2,1.4,1.67,2.2,1.67,2.3,1.64,2.2,1.7,2.4,1.5,1.78,2.03,1.84,2.05,1.76,1.98,1.87,2.1,9,5,1.33,9,5.5,1.3,9,5.25,1.33,7.25,4.8,1.36,8.5,5,1.33,8.5,5,1.33,9,5.5,1.37,8.49,5.11,1.34,9.6,5.4,1.39,1.57,2.38,1.58,2.5,1.55,2.38,1.63,2.56,1.5,1.88,1.98,1.88,1.98,1.82,1.92,1.92,2.06
E0,22/08/2026,15:00,Everton,Crystal Palace,2,0,H,1,0,H,P Tierney,1.12,1.96,16,11,5,4,5,15,4,0,0,1,0,0,2.15,3.5,3.3,2.15,3.5,3.3,2.15,3.5,3.3,2.1,3.3,3.2,2.15,3.3,3.3,2.15,3.3,3.3,3.2,3.5,3.4,2.23,3.4,3.24,2.28,3.55,3.5,1.95,1.9,2.5,1.91,1.93,1.83,2.02,1.96,-0.25,1.88,1.98,1.88,1.98,1.83,1.91,1.95,2.02,2.38,3.4,3,2.38,3.4,3,2.3,3.5,3,2.25,3.25,3,2.25,3.3,3.1,2.25,3.4,3.1,2.38,3.5,3.2,2.32,3.36,3.05,2.42,3.45,3.25,1.98,1.88,1.98,1.88,1.93,1.83,2.06,1.92,-0.25,2.05,1.8,2.05,1.84,1.96,1.79,2.08,1.9
E0,22/08/2026,15:00,Ipswich,Sunderland,2,1,H,1,1,D,F Hallam,1.8,0.66,10,11,3,4,12,14,3,5,0,3,0,0,2.7,3.3,2.63,2.63,3.4,2.63,2.7,3.4,2.55,2.65,3.25,2.5,2.7,3.2,2.63,2.7,3.2,2.6,2.75,3.4,2.68,2.69,3.29,2.6,2.88,3.4,2.74,1.98,1.88,2,1.9,1.93,1.81,2.1,1.89,0,1.95,1.9,1.95,1.9,1.9,1.84,2.04,1.95,3,3.3,2.5,2.8,3.3,2.5,2.88,3.25,2.5,2.7,3.1,2.5,2.8,3.1,2.5,2.8,3.25,2.5,3,3.3,2.6,2.83,3.22,2.52,3,3.35,2.68,2.2,1.67,2.2,1.73,2.14,1.67,2.28,1.76,0,2.1,1.78,2.1,1.83,1.99,1.77,2.11,1.89
E0,22/08/2026,15:00,Nott'm Forest,Leeds,0,1,A,0,0,D,R Jones,0.66,0.47,12,11,2,3,15,14,3,2,2,1,0,0,2.3,3.4,3.1,2.3,3.4,3.1,2.3,3.4,3.1,2.25,3.3,2.95,2.25,3.3,3.1,2.25,3.25,3.1,2.35,3.5,3.4,2.27,3.35,3.1,2.4,3.5,3.3,1.98,1.88,2.25,1.91,1.91,1.83,2,1.95,-0.25,1.98,1.88,1.98,1.97,1.91,1.84,2.05,1.92,2.5,3.2,2.9,2.4,3.25,3,2.5,3.25,2.88,2.37,3.1,2.9,2.45,3.1,3,2.4,3.2,2.9,2.52,3.25,3,2.45,3.2,2.94,2.6,3.3,3.15,2.2,1.67,2.2,1.75,2.12,1.69,2.26,1.77,-0.25,2.1,1.7,2.1,1.75,2.07,1.7,2.19,1.83
E0,22/08/2026,17:30,Brentford,Tottenham,3,0,H,2,0,H,M Oliver,3.88,0.57,26,9,8,4,17,14,7,3,1,1,0,0,2.4,3.7,2.75,2.38,3.75,2.75,2.4,3.6,2.75,2.37,3.4,2.7,2.4,3.5,2.75,2.38,3.5,2.75,3.4,3.75,2.8,2.48,3.58,2.69,2.52,3.8,2.9,1.67,2.2,2.25,2.2,1.69,2.14,1.76,2.28,0,1.8,2.05,1.8,2.05,1.76,1.99,1.86,2.15,1.95,3.9,3.5,2,3.75,3.4,2,3.8,3.4,1.95,3.6,3.4,1.95,3.75,3.4,1.95,3.8,3.4,2.14,3.9,3.5,1.99,3.71,3.39,2.1,4,3.55,1.67,2.2,1.7,2.3,1.65,2.18,1.73,2.36,-0.5,1.98,1.88,2.05,1.88,1.95,1.79,2.09,1.9
E0,23/08/2026,14:00,Brighton,Aston Villa,4,0,H,4,0,H,P Bankes,3.77,0.28,21,6,6,0,12,11,5,2,2,3,0,1,2.15,3.6,3,2.25,3.6,3,2.15,3.5,3.1,2.15,3.5,3.1,2.2,3.6,3.1,2.2,3.5,3.1,2.25,3.6,3.15,2.19,3.54,3.08,2.28,3.75,3.3,1.73,2.1,1.73,2.2,1.66,2.15,1.79,2.22,-0.25,1.93,1.93,1.93,1.93,1.88,1.87,1.98,1.99,2.05,3.5,3.5,2.1,3.5,3.4,2.1,3.3,3.7,2,3.3,3.4,2.05,3.3,3.6,2.05,3.4,3.6,2.12,3.5,3.7,2.07,3.41,3.52,2.16,3.55,3.8,2.03,1.83,2.03,1.85,1.93,1.82,2.06,1.92,-0.25,1.75,2.05,1.8,2.05,1.76,1.98,1.86,2.14
E0,23/08/2026,14:00,Man City,Bournemouth,2,1,H,0,1,A,J Gillett,2.36,0.63,13,5,6,4,11,11,8,3,1,2,0,0,1.48,4.5,6.25,1.44,5,6,1.44,4.6,6,1.46,4.75,5.75,1.44,4.5,6,1.44,4.5,5.75,1.48,5,6.6,1.45,4.72,5.93,1.52,5.1,6.4,1.44,2.75,1.45,3,1.41,2.78,1.47,3,-1.25,1.98,1.88,1.98,1.88,1.93,1.81,2.05,1.9,1.45,4.5,7,1.44,4.6,6.5,1.4,5,7,1.43,4.75,6,1.44,4.5,6,1.44,4.75,6,1.48,5,7,1.44,4.78,6.36,1.51,5.1,7,1.57,2.38,1.57,2.63,1.52,2.45,1.59,2.66,-1.25,1.95,1.9,1.95,1.9,1.9,1.84,2.05,1.93
E0,23/08/2026,16:30,Newcastle,Liverpool,2,2,D,1,0,H,S Attwell,1.57,2.98,13,27,4,7,16,15,2,6,5,3,0,0,4,3.8,1.9,3.6,4,1.9,3.6,3.9,1.85,3.5,3.8,1.87,3.6,4,1.85,3.6,3.9,1.85,4,4,2.5,3.57,3.85,1.92,4.1,4,1.95,1.5,2.63,2,2.63,1.51,2.53,1.55,2.78,0.5,1.98,1.88,1.98,1.88,1.89,1.84,2.04,1.95,3.9,3.9,1.85,3.6,4,1.9,3.8,3.9,1.87,3.6,3.7,1.88,3.8,3.75,1.85,3.8,3.8,1.85,3.9,4,2.5,3.66,3.82,1.92,4.1,4,1.95,1.44,2.75,2,2.8,1.49,2.58,1.51,2.92,0.5,1.98,1.88,1.98,1.88,1.9,1.84,2.04,1.95
E0,24/08/2026,20:00,Fulham,Chelsea,2,3,A,1,2,A,J Brooks,1.35,1.7,14,18,6,6,12,7,6,4,2,3,0,0,3.6,3.8,1.9,3.5,4,1.95,3.75,3.75,1.85,3.5,3.5,1.93,3.8,3.7,1.87,3.8,3.6,1.85,3.8,4,1.95,3.66,3.76,1.89,4.1,3.95,1.95,1.67,2.2,1.67,2.25,1.61,2.22,1.7,2.34,0.5,1.98,1.88,1.98,1.9,1.87,1.84,2.05,1.94,3.6,3.5,2.05,3.4,3.6,2.05,3.6,3.6,2,3.4,3.4,2,3.6,3.4,2,3.6,3.5,2,3.65,3.6,2.08,3.57,3.5,2.02,3.95,3.65,2.1,1.91,1.91,1.91,1.95,1.84,1.91,1.95,2.04,0.5,1.83,2.03,1.83,2.05,1.79,1.95,1.9,2.09
