content_hash,bookmaker,phase,market,selection,line,price
5c3719293dedde0d150af01015f503f7,bet365,open,1x2,away,,5.5
5c3719293dedde0d150af01015f503f7,bet365,open,1x2,draw,,5.0
5c3719293dedde0d150af01015f503f7,bet365,open,1x2,home,,1.48
5c3719293dedde0d150af01015f503f7,bet365,open,asian_handicap,away,1.25,1.9
5c3719293dedde0d150af01015f503f7,bet365,open,asian_handicap,home,-1.25,1.95
5c3719293dedde0d150af01015f503f7,bet365,open,total_goals,over,2.5,1.36
5c3719293dedde0d150af01015f503f7,bet365,open,total_goals,under,2.5,3.2
5c3719293dedde0d150af01015f503f7,bet_and_win,open,1x2,away,,5.5
5c3719293dedde0d150af01015f503f7,bet_and_win,open,1x2,draw,,5.0
5c3719293dedde0d150af01015f503f7,bet_and_win,open,1x2,home,,1.49
5c3719293dedde0d150af01015f503f7,betfair_exchange,open,1x2,away,,6.4
5c3719293dedde0d150af01015f503f7,betfair_exchange,open,1x2,draw,,5.2
5c3719293dedde0d150af01015f503f7,betfair_exchange,open,1x2,home,,1.53
5c3719293dedde0d150af01015f503f7,betfair_exchange,open,asian_handicap,away,1.25,1.91
5c3719293dedde0d150af01015f503f7,betfair_exchange,open,asian_handicap,home,-1.25,2.05
5c3719293dedde0d150af01015f503f7,betfair_exchange,open,total_goals,over,2.5,1.4
5c3719293dedde0d150af01015f503f7,betfair_exchange,open,total_goals,under,2.5,3.4
5c3719293dedde0d150af01015f503f7,betfred,open,1x2,away,,6.0
5c3719293dedde0d150af01015f503f7,betfred,open,1x2,draw,,5.0
5c3719293dedde0d150af01015f503f7,betfred,open,1x2,home,,1.44
5c3719293dedde0d150af01015f503f7,betvictor,open,1x2,away,,5.75
5c3719293dedde0d150af01015f503f7,betvictor,open,1x2,draw,,5.0
5c3719293dedde0d150af01015f503f7,betvictor,open,1x2,home,,1.45
5c3719293dedde0d150af01015f503f7,market_avg,open,1x2,away,,5.61
5c3719293dedde0d150af01015f503f7,market_avg,open,1x2,draw,,4.98
5c3719293dedde0d150af01015f503f7,market_avg,open,1x2,home,,1.46
5c3719293dedde0d150af01015f503f7,market_avg,open,asian_handicap,away,1.25,1.82
5c3719293dedde0d150af01015f503f7,market_avg,open,asian_handicap,home,-1.25,1.92
5c3719293dedde0d150af01015f503f7,market_avg,open,total_goals,over,2.5,1.35
5c3719293dedde0d150af01015f503f7,market_avg,open,total_goals,under,2.5,3.11
5c3719293dedde0d150af01015f503f7,market_max,open,1x2,away,,6.0
5c3719293dedde0d150af01015f503f7,market_max,open,1x2,draw,,5.0
5c3719293dedde0d150af01015f503f7,market_max,open,1x2,home,,1.49
5c3719293dedde0d150af01015f503f7,market_max,open,asian_handicap,away,1.25,1.9
5c3719293dedde0d150af01015f503f7,market_max,open,asian_handicap,home,-1.25,1.95
5c3719293dedde0d150af01015f503f7,market_max,open,total_goals,over,2.5,1.38
5c3719293dedde0d150af01015f503f7,market_max,open,total_goals,under,2.5,3.3
5c3719293dedde0d150af01015f503f7,paddy_power,open,1x2,away,,5.5
5c3719293dedde0d150af01015f503f7,paddy_power,open,1x2,draw,,4.75
5c3719293dedde0d150af01015f503f7,paddy_power,open,1x2,home,,1.44
5c3719293dedde0d150af01015f503f7,skybet,open,1x2,away,,5.5
5c3719293dedde0d150af01015f503f7,skybet,open,1x2,draw,,5.0
5c3719293dedde0d150af01015f503f7,skybet,open,1x2,home,,1.44
0ae5756896f637de791dd73e8af57477,bet365,open,1x2,away,,1.5
0ae5756896f637de791dd73e8af57477,bet365,open,1x2,draw,,4.75
0ae5756896f637de791dd73e8af57477,bet365,open,1x2,home,,5.25
0ae5756896f637de791dd73e8af57477,bet365,open,asian_handicap,away,-1.25,2.05
0ae5756896f637de791dd73e8af57477,bet365,open,asian_handicap,home,1.25,1.8
0ae5756896f637de791dd73e8af57477,bet365,open,total_goals,over,2.5,1.4
0ae5756896f637de791dd73e8af57477,bet365,open,total_goals,under,2.5,3.0
0ae5756896f637de791dd73e8af57477,bet_and_win,open,1x2,away,,1.53
0ae5756896f637de791dd73e8af57477,bet_and_win,open,1x2,draw,,4.8
0ae5756896f637de791dd73e8af57477,bet_and_win,open,1x2,home,,5.0
0ae5756896f637de791dd73e8af57477,betfair_exchange,open,1x2,away,,1.54
0ae5756896f637de791dd73e8af57477,betfair_exchange,open,1x2,draw,,5.2
0ae5756896f637de791dd73e8af57477,betfair_exchange,open,1x2,home,,6.2
0ae5756896f637de791dd73e8af57477,betfair_exchange,open,asian_handicap,away,-1.25,2.09
0ae5756896f637de791dd73e8af57477,betfair_exchange,open,asian_handicap,home,1.25,1.88
0ae5756896f637de791dd73e8af57477,betfair_exchange,open,total_goals,over,2.5,1.44
0ae5756896f637de791dd73e8af57477,betfair_exchange,open,total_goals,under,2.5,3.2
0ae5756896f637de791dd73e8af57477,betfred,open,1x2,away,,1.5
0ae5756896f637de791dd73e8af57477,betfred,open,1x2,draw,,5.0
0ae5756896f637de791dd73e8af57477,betfred,open,1x2,home,,5.5
0ae5756896f637de791dd73e8af57477,betvictor,open,1x2,away,,1.5
0ae5756896f637de791dd73e8af57477,betvictor,open,1x2,draw,,4.8
0ae5756896f637de791dd73e8af57477,betvictor,open,1x2,home,,5.75
0ae5756896f637de791dd73e8af57477,market_avg,open,1x2,away,,1.5
0ae5756896f637de791dd73e8af57477,market_avg,open,1x2,draw,,4.8
0ae5756896f637de791dd73e8af57477,market_avg,open,1x2,home,,5.48
0ae5756896f637de791dd73e8af57477,market_avg,open,asian_handicap,away,-1.25,1.99
0ae5756896f637de791dd73e8af57477,market_avg,open,asian_handicap,home,1.25,1.77
0ae5756896f637de791dd73e8af57477,market_avg,open,total_goals,over,2.5,1.37
0ae5756896f637de791dd73e8af57477,market_avg,open,total_goals,under,2.5,2.99
0ae5756896f637de791dd73e8af57477,market_max,open,1x2,away,,1.54
0ae5756896f637de791dd73e8af57477,market_max,open,1x2,draw,,5.0
0ae5756896f637de791dd73e8af57477,market_max,open,1x2,home,,5.8
0ae5756896f637de791dd73e8af57477,market_max,open,asian_handicap,away,-1.25,2.08
0ae5756896f637de791dd73e8af57477,market_max,open,asian_handicap,home,1.25,1.8
0ae5756896f637de791dd73e8af57477,market_max,open,total_goals,over,2.5,1.42
0ae5756896f637de791dd73e8af57477,market_max,open,total_goals,under,2.5,3.1
0ae5756896f637de791dd73e8af57477,paddy_power,open,1x2,away,,1.44
0ae5756896f637de791dd73e8af57477,paddy_power,open,1x2,draw,,4.75
0ae5756896f637de791dd73e8af57477,paddy_power,open,1x2,home,,5.5
0ae5756896f637de791dd73e8af57477,skybet,open,1x2,away,,1.44
0ae5756896f637de791dd73e8af57477,skybet,open,1x2,draw,,5.0
0ae5756896f637de791dd73e8af57477,skybet,open,1x2,home,,5.5
50329c2642c8d37d3576090e0f30440c,bet365,open,1x2,away,,7.5
50329c2642c8d37d3576090e0f30440c,bet365,open,1x2,draw,,4.5
50329c2642c8d37d3576090e0f30440c,bet365,open,1x2,home,,1.42
50329c2642c8d37d3576090e0f30440c,bet365,open,asian_handicap,away,1.25,1.93
50329c2642c8d37d3576090e0f30440c,bet365,open,asian_handicap,home,-1.25,1.93
50329c2642c8d37d3576090e0f30440c,bet365,open,total_goals,over,2.5,1.62
